,P_values,LowerCI,UpperCI,Coefficients
const,0.009788159137392454,-2.942576419603535,-0.4036794516509097,0.18765916087887452
ADD,1.790530704037563e-13,-1.957431053177718,-1.1344612382166623,0.21311014256119953
AnyAllr,0.6706856294228638,-0.4650421437768936,0.29923494926886346,0.9204398758747614
AnyPars3,0.23397748432533472,-0.5472480623961961,0.13372911555168818,0.8132152263413355
CookArea,0.7561212454266153,-0.3809209908909864,0.5243753488693038,1.0743621954969025
DEWORM,0.007194965706902238,0.14302330490055815,0.9134319544030872,1.6959238382205994
GCOW,0.02967451791801396,-0.9286871459285764,-0.04816965743560808,0.6135899537610008
HCIGR6A,0.010907959249911807,0.2333875882633777,1.7954669616248022,2.7577834932887573
GCAT_1,0.5418341231325663,-0.590952615639331,0.31040399097170895,0.8691197924177563
GCAT_2,0.37153978120719955,-0.8073340672787873,0.30169988248994073,0.7766099166940424
GDOG_1.0,0.9676251833816789,-576.3747161965837,552.9878634671647,8.348519295475338e-06
GDOG_2.0,0.7515794593536105,-0.4090824371096129,0.295314057086703,0.9447034691295467
GELEC_1.0,0.013095243229064784,-1.7129434699710115,-0.2010284450569525,0.38404868233572187
GELEC_2.0,6.123014810320812e-05,-1.315925311515941,-0.451591031444017,0.4132270118729348
GFLOOR6A_1.0,0.8050395273904059,-1.2775794489768235,1.6457297957079158,1.2021061860675653
GFLOOR6A_2.0,0.7269837357976359,-0.2757149477558589,0.3952355519314188,1.0615820570435532
GFLOOR6A_9.0,0.9265590189494003,-1.6121495318937265,1.7712679818018136,1.0828096869843968
GWASTE_1.0,0.5882685411033068,-0.6674819210641887,0.3785620274359671,0.8654895773238077
GWASTE_2.0,0.023730170001989837,-1.3101644235654593,-0.09357541164864358,0.4956575978256242
GWASTE_3.0,0.81909947239749,-0.46254921853563,0.3658816583314344,0.9528157030727501
AgeGroups_1.0,0.43640014193627386,-0.3095518824242182,0.7173112684018943,1.226150630064802
AgeGroups_2.0,0.8415537547398104,-0.4767052282526124,0.5849931018048459,1.0556365361401367
FamilyGrouped_1.0,0.3444840619360875,-0.22667420685100903,0.6490676850533386,1.2351553345091417
FamilyGrouped_2.0,0.07354677371868844,-0.0408898579646802,0.8989720330123581,1.5357841346682681
ToiletType_1.0,0.012334799304506055,0.21646286125218905,1.7806837728939608,2.7144064672969486
ToiletType_2.0,0.4144372341042073,-0.6665912429097793,1.6177821614407852,1.608971989573522
WaterSource_1.0,0.5126648586879141,-1.00519826061297,0.5018076126048717,0.7774815819621073
WaterSource_2.0,0.972681545707468,-1.172193124505515,1.2138836396083608,1.0210640374627826
